,node,S01_088,S01_132,S02_116,S02_162,S03_090,S03_179,S04_107,S04_110,S05_056,S05_145,S06_057,S06_061,S07_260,S08_091,S08_092,S09_143,S09_232,S10_141,S10_184,S11_033,S11_034,S12_067,S12_113,lat,long,strata,Depth(m),name
0,S01_088,0.0,0.5803340699773217,0.6952971818509895,0.6389018180289733,0.0,0.32371883614953456,0.7366333526876052,0.9826030223561115,0.4591069890473872,0.4697707271511235,0.2864270050423828,0.6486098731256827,0.3977288133463909,0.3068288244775189,0.570315488099392,0.2544983526012957,0.06630218953540351,0.6871822334714431,0.7059980831513871,0.2912443502239399,0.6305360775937566,0.9017616840722245,0.8311388493333691,19.63188848,-155.9925132,01,11.69721603,088
1,S01_132,0.5803340699773217,0.0,0.9674463537207271,0.9866512024683949,0.6342148349612458,0.9123076508508078,0.9577758757852951,0.6940062419003274,0.9532966621216669,0.9916462131661833,0.8958400739055836,0.9922401999484305,0.9455399207951942,0.9197987167570238,1.0,0.8130960196354716,0.7041553635972406,0.9785831306102202,0.9164277651932622,0.9359920599073926,0.9925761704656595,0.874986165060145,0.9308756166461458,19.83299326,-155.9919528,01,3.992480516,132
2,S02_116,0.6952971818509895,0.9674463537207271,0.0,0.9699772166450561,0.459935288198804,0.791848796612857,0.9992212339870593,0.7937290511834633,0.8621309382740656,0.9396022112155379,0.7787646887461802,0.978987062479335,0.8595019276840377,0.7974697062222483,0.9697286846632303,0.6792454044194717,0.5137005675190409,0.9931054497929,0.9871278532210064,0.8194957588732444,0.9871688668436073,0.9350107271466814,0.9648026729996748,19.67597346,-156.0343953,02,9.518499374,116
3,S02_162,0.6389018180289733,0.9866512024683949,0.9699772166450561,0.0,0.6526889970084485,0.9028717902611897,0.965359795248331,0.7562347510530457,0.956270885870924,0.9679779064629347,0.8963498079881542,0.9964935342726252,0.9506554414409596,0.9029782364161323,0.9896401586824934,0.738028472666251,0.6584624945713046,0.9918736716965693,0.9171159229811804,0.9007385234778443,0.9866593829721869,0.9058540415210471,0.956269391651905,19.72063176,-156.0571628,02,11.17146873,162
4,S03_090,0.0,0.6342148349612458,0.459935288198804,0.6526889970084485,0.0,0.8924125832871931,0.4363343112212415,0.15441898544008545,0.832513158696568,0.6783085048710239,0.8930843944994415,0.6174290911343162,0.8409337873472169,0.875722334157788,0.637008343253734,0.6088336431267163,0.8848552813980506,0.5565315828241066,0.3285164089722492,0.808418363890096,0.5610219736265315,0.3294193121630167,0.44731218191649424,20.02324466,-155.8309,03,11.50591087,090
5,S03_179,0.32371883614953456,0.9123076508508078,0.791848796612857,0.9028717902611897,0.8924125832871931,0.0,0.7737285281714145,0.4660717040548699,0.9860344708475669,0.9310152774694084,0.9811810852551063,0.8911830789038651,0.9807400705888257,0.9982330189409007,0.9095737741010879,0.8207182537537488,0.9012104868530039,0.8469052037996986,0.6931427772939863,0.9745729294316291,0.8634707946433718,0.6677384228934153,0.7627076169825903,19.612032,-155.98534,03,15.0,179
6,S04_107,0.7366333526876052,0.9577758757852951,0.9992212339870593,0.965359795248331,0.4363343112212415,0.7737285281714145,0.0,0.8296338284755456,0.8494089461181449,0.921207805033353,0.7562587816405963,0.9756811971224995,0.8414989804150439,0.776227599796221,0.9586081910153412,0.6591192119186433,0.4924226750591516,0.9914663049922944,0.9869849596631401,0.7935079173962941,0.9790048178029064,0.9530475225897105,0.9746793606540608,19.71190085,-156.0505617,04,10.95268631,107
7,S04_110,0.9826030223561115,0.6940062419003274,0.7937290511834633,0.7562347510530457,0.15441898544008545,0.4660717040548699,0.8296338284755456,0.0,0.5914789642337446,0.5941234565485178,0.43618522561052087,0.7620390632617857,0.5422589839531512,0.44737604176045076,0.6877217961941922,0.34269737081264223,0.18633806498954356,0.7956022329979394,0.7928796086426824,0.42543251751785904,0.7366162667419727,0.9525178045210299,0.9019526564120522,19.60581232,-155.9819991,04,15.2455101,110
8,S05_056,0.4591069890473872,0.9532966621216669,0.8621309382740656,0.956270885870924,0.832513158696568,0.9860344708475669,0.8494089461181449,0.5914789642337446,0.0,0.9566258710963803,0.9794142226448145,0.9445581969231807,0.9938249279066435,0.9844037936263105,0.9532898109814256,0.8119008691859853,0.8308176204732153,0.9104498313638991,0.7696316068307679,0.9677047771080217,0.9205654617355847,0.7723236115522175,0.851116185788428,19.75857282,-156.0504239,05,16.218256,056
9,S05_145,0.4697707271511235,0.9916462131661833,0.9396022112155379,0.9679779064629347,0.6783085048710239,0.9310152774694084,0.921207805033353,0.5941234565485178,0.9566258710963803,0.0,0.9206276873876882,0.9689961696904467,0.9588168547612818,0.9439889625670973,0.9930230714562691,0.8279032123421097,0.7365850316940193,0.9511410548288297,0.8830812301133003,0.966389158888791,0.9792811432240968,0.807185308718365,0.8805577871807628,19.91362545,-155.9011038,05,16.31138039,145
